,IMF
United States,"22,939,580"
China,"16,862,979"
Japan,"5,103,110"
Germany,"4,230,172"
United Kingdom,"3,108,416"
India,"2,946,061"
France,"2,940,428"
Italy,"2,120,232"
Canada,"2,015,983"
South Korea,"1,823,852"
Russia,"1,647,568"
Brazil,"1,645,837"
Australia,"1,610,556"
Spain,"1,439,958"
Mexico,"1,285,518"
Indonesia,"1,150,245"
Iran,"1,081,383"
Netherlands,"1,007,562"
Saudi Arabia,842.588
Switzerland,810.83
Turkey,795.952
Taiwan,785.589
Poland,655.332
Sweden,622.365
Belgium,581.848
Thailand,546.223
Ireland,516.253
Austria,481.209
Nigeria,480.482
Israel,467.532
Argentina,455.172
Norway,445.507
South Africa,415.315
United Arab Emirates,410.158
Denmark,396.666
Egypt,396.328
Philippines,393.737
Singapore,378.645
Malaysia,371.114
Hong Kong,369.722
Vietnam,368.002
Bangladesh,355.689
Chile,331.25
Colombia,300.791
Finland,296.016
Romania,287.279
Pakistan,261.726
Czech Republic,276.914
Portugal,251.709
New Zealand,247.64
Peru,225.858
Greece,211.645
Iraq,201.472
Kazakhstan,194.024
Ukraine,181.038
Hungary,180.959
Qatar,169.184
Algeria,163.812
Kuwait,132.266
Morocco,126.035
Slovakia,116.748
Kenya,109.491
Cuba,
Puerto Rico,106.576
Ecuador,104.483
Ethiopia,92.757
Dominican Republic,89.502
Luxembourg,83.771
Guatemala,83.305
Sri Lanka,80.785
Oman,80.611
Bulgaria,77.907
Ghana,75.487
Angola,70.339
Tanzania,69.238
Ivory Coast,68.845
Myanmar,66.74
Belarus,65.754
Uzbekistan,65.503
Lebanon,19.126
Croatia,63.399
Lithuania,62.635
Costa Rica,61.178
Slovenia,60.89
Serbia,60.669
Panama,60.121
Uruguay,60.108
DR Congo,54.832
Turkmenistan,53.087
Azerbaijan,52.645
Jordan,45.344
Venezuela,44.893
Cameroon,44.806
Uganda,43.243
Tunisia,42.733
Bahrain,39.104
Bolivia,38.547
Latvia,37.199
Paraguay,36.973
Estonia,36.039
Sudan,35.919
Nepal,34.265
Macau,29.223
El Salvador,27.665
Senegal,27.576
Libya,27.3
Cyprus,26.546
Papua New Guinea,26.461
Honduras,26.325
Cambodia,26.08
Zimbabwe,25.791
Iceland,25.476
Zambia,21.699
Bosnia and Herzegovina,21.692
Trinidad and Tobago,21.599
Haiti,20.143
Afghanistan,19.938
Burkina Faso,19.932
Mali,19.563
Yemen,19.471
Laos,19.375
Gabon,18.293
Benin,18.067
Georgia,17.846
Botswana,17.605
Palestine,17.343
Albania,16.77
Guinea,16.724
Malta,16.695
North Korea,
Mozambique,15.833
Brunei,15.686
Niger,15.637
Syria,60.043
Jamaica,14.857
Mongolia,14.28
Madagascar,14.101
North Macedonia,13.885
Armenia,13.612
Nicaragua,13.397
Congo,12.744
Equatorial Guinea,12.528
Moldova,12.396
Chad,12.345
Namibia,12.213
Malawi,12.15
Mauritius,10.998
Bahamas,10.681
Rwanda,10.395
New Caledonia,
Mauritania,9.164
Kosovo,8.958
Togo,8.493
Kyrgyzstan,8.15
Tajikistan,8.104
Bermuda,
Guyana,7.395
Liechtenstein,
Monaco,
Cayman Islands,
Guam,
French Polynesia,
Montenegro,5.494
Somalia,5.424
Barbados,4.648
Fiji,4.639
Maldives,4.573
Eswatini,4.517
Sierra Leone,4.407
Djibouti,3.654
Liberia,3.384
South Sudan,3.263
Andorra,3.213
Burundi,3.193
Greenland,
Aruba,2.865
Suriname,2.817
Curaçao,
Central African Republic,2.587
Bhutan,2.48
Lesotho,2.478
Eritrea,2.254
Gambia,2.042
Belize,1.909
Cape Verde,1.886
San Marino,1.728
Zanzibar,
Saint Lucia,1.715
East Timor,1.697
Solomon Islands,1.649
Guinea-Bissau,1.592
British Virgin Islands,
Antigua and Barbuda,1.405
Seychelles,1.288
Comoros,1.281
Northern Mariana Islands,
Grenada,1.083
Vanuatu,999
Saint Kitts and Nevis,976
Turks and Caicos Islands,
Sint Maarten,
Samoa,780
Saint Vincent and the Grenadines,769
American Samoa,
Dominica,571
São Tomé and Príncipe,534
Tonga,501
Micronesia,404
Cook Islands,
Anguilla,
Marshall Islands,241
Kiribati,232
Palau,208
Nauru,133
Montserrat,
Tuvalu,65
